metric_family,scope,field,tp,fp,fn,support,precision,recall,f1,slot_exact_match
field_raw,field,company,2,0,1,3,1,0.666666666667,0.8,0.75
field_raw,field,address,3,1,1,4,0.75,0.75,0.75,0.8
field_raw,field,date,3,1,0,3,0.75,1,0.857142857143,0.8
field_raw,field,total,1,2,2,3,0.333333333333,0.333333333333,0.333333333333,0.6
field_raw,micro,ALL,9,4,4,13,0.692307692308,0.692307692308,0.692307692308,0.736842105263
field_raw,macro,ALL,,,,,0.708333333333,0.6875,0.685119047619,
field_raw,document,ALL,2,,2,4,,,,0.5
field_normalized,field,company,2,0,1,3,1,0.666666666667,0.8,0.75
field_normalized,field,address,3,1,1,4,0.75,0.75,0.75,0.8
field_normalized,field,date,2,1,0,2,0.666666666667,1,0.8,0.75
field_normalized,field,total,2,1,1,3,0.666666666667,0.666666666667,0.666666666667,0.8
field_normalized,micro,ALL,9,3,3,12,0.75,0.75,0.75,0.777777777778
field_normalized,macro,ALL,,,,,0.770833333333,0.770833333333,0.754166666667,
field_normalized,document,ALL,3,,1,4,,,,0.75
entity_exact,field,company,1,0,1,2,1,0.5,0.666666666667,
entity_exact,field,address,0,1,1,1,0,0,0,
entity_exact,field,date,1,0,0,1,1,1,1,
entity_exact,field,total,1,1,0,1,0.5,1,0.666666666667,
entity_exact,micro,ALL,3,2,2,5,0.6,0.6,0.6,
entity_exact,macro,ALL,,,,,0.625,0.625,0.583333333333,
